prompt,completion
"What is EHP? Will it infect P. vannamei shrimp? If so, what are its symptoms? What
measures can be undertaken to prevent/manage the entry and spread of EHP?","The full name of EHP is Enterocytozoon hepatopenaei. It is a spore forming unicellular parasite and belongs to a group called microsporidea. EHP is found to infect shrimps and recent survey by ICAR-CIBA confirmed the presence of EHP in the shrimp farms of India. EHP is not characterized by any specific clinical signs. Though EHP does not cause mortality, it severely damages Hepatopancreas (HP) and shrimp gut, causing severe growth retardation. EHP can also get associated with white faeces
syndrome, EMS and WSSV etc.The disease is spread through the oral route when shrimps eat infected animals. So far EHP has been detected only from polycheats other than the shrimps. If the brooders are infected this can be transmitted through the larvae.EHP spores are thick and difficult to destroy even with higher chlorine concentration.The best way is to prevent the entry of EHP into the system.The following measures need to be adopted for the prevention of EHP pathogen in to the shrimp farm.
 A systematic pond preparation is very essential particularly when the previous crop is infected with EHP. Adequate drying of the pond for 4-5 weeks and apply CaO (lime) @ 6 tons/ha.Plough the pond for the lime to penetrate dip into pond bottom (1 foot or more). Moisten the lime for activation. Leave it for one week.
 PCR test is the most suitable and sensitive method for detection of EHP. PCR screening of the seed for presence of EHP is absolutely essential.
>Maintain strict biosecurity to prevent unwanted animals into the farm because the range of carriers for EHP is still unknown."
SPF P. vannamei is free from how many pathogens? What are they?,"It depends from which companies you are getting the SPF and there is no limit to it. Presently a certificate for 7 pathogens is sought from the SPF broodstocks supplier (WSSV, IHHNV, TSV, IMNV, YHV, LSNV and EHP)."
"Is it possible to enhance the immunity of P. vannamei shrimp through use of immune
stimulants? If yes, suggest what needs to checked in such products?","Is it possible to enhance the immunity of P. vannamei shrimp through use of immune stimulants? If yes, suggest what needs to checked in such products?"
"Is the Running Mortality (RMS) and water quality parameters related? If yes, how?","RMS starts after 45 days and till about 90 DOC there will be partial mortality in each day. RMS is directly related with ammonia, turbidity and nitrite. Temperature also has an influence on RMS to some extent."
"How to keep/ preserve an abnormal shrimp for sending the same for analysis/screening?
",Keep the animals in alcohol for PCR testing. Live moribund shrimps will be a good sample.
"Is partial harvesting in P. vannamei farming essential? If so at what stage it has to be done
and what gear should be used?","The biomass of the P. vannamei pond after 70 days of stocking is relatively high and maintenance of water quality parameters and feed management are very important. In order to minimize the risk, farmers can do partial harvesting upto 20-30% of the stock using drag net so that the load of the pond gets optimized. At 70 DOC the shrimp could have grown to 12-14 g size and they may fetch good price at the local market and by this, the farmer sometimes might get his break even. Similarly, one more partial harvesting at 90 DOC with 15-18 gm size shrimps again might help in better farm management. This approach may help the farmer to avoid market price crash during the time of final harvest (June-July syndrome). Therefore, partial harvesting of shrimp helps in maintaining the optimum pond carrying capacity and minimizes the risks."
How P. vannamei farming in inland/low saline areas are regulated? Does this need to be registered?,"The Govt. of India has notified that farmers who desired to culture P. vannamei outside the jurisdiction of CAA having the water salinity of above 0.5 ppt shall get registered with the Department of Fisheries (DoF) of the state government concerned. The farms should possess all the required infrastructure and biosecurity. The DoF may constitute a separate district level committee to inspect and give registration to the farms within a reasonable time frame of 60 days and other guidelines are same as that of brackishwater area. However, farms within the jurisdiction of CAA (up to 2 km from the high tide line) should get registered with the CAA only."
"What is crop holiday? How it help? As such, does a shrimp pond require a holiday once in
few/some years even otherwise also?",Leaving the shrimp pond without culture for a specified period is called crop holiday. It is generally declared whenever new emerging diseases appear on a large scale. It also helps in total eradication of pathogens or their hosts present in the pond sediments.
What are periphyton and its significance in P. vannamei farming?,"Use of submerged substrates like agriculture shade nets or dry wooden planks, which serve for the promotion of growth of mixed microalgae-bacteria mats (Periphyton). The Periphyton utilizes the dissolved waste products within the culture system by autotrophic bacteria and algae or through direct heterotrophic conversion of organic and inorganic nitrogen species into microbial biomass which improves water quality and at the same time, the microbial biomass becomes an important direct or indirect source of natural feed for the farmed organisms."
What are the responsibilities and do’s and don’ts of a P. vannamei farmer?,Farmers should get registration from the CAA/DoF for the culture of P. vannamei. The farms should have adequate biosecurity measures and infrastructure to culture P. vannamei shrimp. Farmers should procure seed from the registered hatchery after screening for pathogens and restrict the stocking density as per the CAA guidelines. The farmer should adopt better management practices of farming and send the periodical reports to the CAA.Farmers should not carry out farming without registration and should not procure seed from a non-registered hatchery.
"When or at what level of intensification, plastic lining of P. vannamei pond is necessary?
What are its advantages?","Plastic lining of P. vannamei shrimp ponds is necessary in case of super intensive systems with very high stocking density
of 250-300 PL/m2 with biofloc technology and other high energy inputs. Also, pond lining can be done if a farmer wants to culture three or more crops in a year and the bottom lining can be cleaned using pressure pumps before starting the next culture. It helps in preventing soil erosion of bunds/dykes due to the use of more aerators continuously. Nevertheless, CAA has permitted a stocking density to the maximum of 60 PL/m2 and for this, density lining is not required. However,farmers may use lining for dykes to prevent erosion."
What are the food safety measures a farmer needs to adopt in P. vannamei farming?,"Cleanliness and hygiene of farm workers and basic amenities for them are essential. Wild/pet animals should not be allowed
entry into the farm. Chill killing of shrimp immediately after harvest and proper handling of harvested shrimp are required
to maintain the quality. Farmed shrimp should be free from antibiotics, banned feed additives and should not have any
discoloration or bad odor."
"What are all the aspects that need to be recorded for record
keeping? Is it mandatory for marketing?","Record keeping is a good practice to record all the operations pond wise, quantity of inputs applied at each stage, seed stocking
density, feeding - schedule, quantity, timing, sampling details, ABW,probiotics and minerals applied, water quality measurements and their reports which are very essential to take appropriate decisions as and when required. Record keeping is one of the BMPs and it is essential for certification of farmed shrimps."
Is it necessary to take CAA registration for starting the P. vannamei farming? ,Yes. The farmers interested to farm P. vannamei need to avail an exclusive registration even though they have already availed Coastal Aquaculture Authority (CAA) registration for the farming of tiger shrimp (P. monodon). 
What is the procedure for obtaining license for P. vannamei farming?,"Farmers who have already have a CAA registration for tiger shrimp farming should send a request letter along with copy of the earlier registration to the CAA. In case of small farms up to 2 ha, the CAA would send this request to the concerned District Level Committee (DLC) of the Department of Fisheries (DoF) of the concerned State for inspection of the facility for the infrastructure and biosecurity requirements. Based on the recommendations of the DLC and SLC (State Level Committee) the registration for farming of P. vannamei will be issued to the concerned farmer. "
"Is it possible to do P. vannamei culture along with other indigenous shrimp species as mixed culture?
",No. As per the CAA regulations/guidelines mixed culture of P. vannamei with other shrimp species is not permitted.
Can P. vannamei be cultured together with other indigenous shrimp species in a mixed culture?,"Yes, it is possible to culture P. vannamei along with other indigenous shrimp species in a mixed culture. However, several factors need to be considered, such as the compatibility of the species, their growth rates, feeding habits, and environmental requirements."
Is it feasible to raise P. vannamei and indigenous shrimp species together in the same culture system?,"Feasibility depends on various factors, including the specific species involved, their physiological compatibility, and the management practices employed. Proper planning, monitoring, and addressing the unique requirements of each species can make it feasible to raise P. vannamei and indigenous shrimp species together in a mixed culture system"
What are the potential benefits and drawbacks of combining P. vannamei and indigenous shrimp species in a mixed culture?,"Combining P. vannamei and indigenous shrimp species in a mixed culture can offer benefits such as diversification of production, efficient resource utilization, and enhanced disease resistance through species interactions. However, drawbacks may include the need for careful species selection, potential competition for resources, and the need for tailored management practices to optimize growth and mitigate potential issues."
Are there any challenges or considerations when practicing mixed culture of P. vannamei and indigenous shrimp species?,"There are several challenges and considerations when practicing mixed culture of P. vannamei and indigenous shrimp species. These may include differences in growth rates, feeding preferences, disease susceptibility, and competition for resources. Proper species selection, monitoring, and management strategies are necessary to address these challenges"
Has there been any successful implementation of P. vannamei culture alongside indigenous shrimp species in a mixed culture?,"Yes, successful implementations of P. vannamei culture alongside indigenous shrimp species in a mixed culture have been reported. These success stories often involve careful species selection, appropriate culture system design, and effective management practices. However, the specific outcomes can vary depending on local conditions, species combinations, and the expertise of the farmers."
"Is it possible to do P. vannamei culture in the tide fed traditional ponds, Pokkali fields, etc.,","As per the CAA farming of P. vannamei shrimp require strict biosecurity measures like disinfection of source water, filtrations, fencing (crab,men,bird) and disinfection protocol for labour and implements. Considering the limitations with the tide fed ponds and pokkali fields it is not possible to take up P. vannamei farming."
"Which is the ideal season for P. vannamei Culture?
",Shrimp farming is being carried out in two seasons in India. The first season is between February/March to June/July. The second season is between August/September to November/ December.
From where we can source P. vannamei seeds?,The CAA has permitted 180 shrimp hatcheries for import of SPF broodstock and seed production and supply of P. vannamei. This list is available in the website of CAA (www.caa.gov.in) and shrimp farmers should procure seeds only from the registered hatcheries following due quality screening procedures.
"Is it possible to do P. vannamei culture in fresh water resources such as artificial ponds,
tanks, etc? What is the package of practice for culture in fresh water systems? 
","P. vannamei shrimp is tolerant to low salinities but the rearing water should have a salinity of more than 0.5 ppt. The Govt. of India has notified that farmers who desired to culture P. vannamei outside the jurisdiction of CAA having the water salinity of above 0.5 ppt shall get registered with the Department of Fisheries (DoF) of the state government concerned. The farms should possess all the required infrastructure and biosecurity. The DoF may constitute a separate district level committee to inspect and give registration to the farms within a reasonable time frame of 60 days and other guidelines are same as that of brackishwater area.
P. vannamei farming in Low saline waters requires two critical practices to be adopted as below and remaining practices are more or less same as that of brackishwater.
Acclimatization of shrimp seed to the pond conditions should be done gradually not suddenly.It is better to stock larger PL (above 15 PL) which has the capacity to acclimatize to low saline waters.
The mineral composition of the rearing water should be maintained at an optimal level throughout the culture period. P. vannamei shrimp requires essential minerals viz., calcium,magnesium and potassium in the ratio of 1:3:1. The minimum requirement of calcium is 150-200 ppm. In 1 ppt salinity the required level of essential minerals should be @ calcium-11.6mg/L; magnesium-39 mg/L and potassium-10.7 mg/L. According to the pond salinity this value can be multiplied and the required level of minerals in proportion should be maintained always for the better survival and growth of P. vannamei shrimps. "
"Is it possible to insure P. vannamei culture farms? What is the procedure for insuring the
P. vannamei culture farms?","An insurance scheme for shrimp culture is available with the National Insurance Companies of India. However, crop insurance is not popular among shrimp farmers due to the following reasons.
Insurance companies are reluctant to insure shrimp farms for disease outbreaks.
They take in to account only the inputs costs not the actual biomass exist during the mishap.
The premium is relatively high. "
Is there any government schemes or subsidies exist for doing P. vannamei culture?,"The Marine Products Export Development Authority (MPEDA; www.mpeda.com), The National Fisheries Development Board (NFDB; www.nfdb.gov.in) and the DoFs of respective states do have shrimp farming development schemes for construction of new ponds, renovation of existing ponds, one time first-year inputs for fish/prawn culture and farm infrastructure development etc."
"In a nut shell, what are all the infrastructure requirements and the salient management
practices to be followed for P. vannamei farming?","Adequate farm Biosecurity, deep ponds, central drainage/sledge removal capacity, waste water pond, continuous electricity and exclusive permission from the Coastal Aquaculture Authority are essential requirements for P. vannamei farming.
Prepare the culture pond by adequate drying, scraping, ploughing, liming, strengthening of bunds and dykes. In case of white spot disease incidence in the previous crop, drying of soil for a minimum of 21-30 days is essential.
Adopt filter screens to prevent the entry of vectors, disinfection with 20 ppm chlorine and allow ageing of water for 12-14 days to eliminate free living viral pathogens.
Apply carbon source for development of adequate phytoplankton and beneficial bacteria.
Select SPF P. vannamei seed from a registered shrimp hatchery after adequate screening for presence of pathogens. Above PL12 is the optimum size for stocking.
Acclimatization of seed helps in better survival. Stock optimum density based on the pond carrying capacity, existing infrastructure and biosecurity. Moderate stocking minimizes the risks.
Always Maintain dissolved oxygen level at above 4ppm. Artificial aeration is important to maintain the dissolved oxygen levels. Keep1HP aerator for every 300 kg biomass.
Continue to maintain mineral nutrients at optimum levels (Ca & Mg at 1:3 ratio and Na & K at 28:1 ratio) based on periodic water quality tests.
Maintain the pond water quality with total alkalinity between 50-150 ppm and hardness between 75 - 200 ppm. The safe levels for the metabolites are: Total Ammonia Nitrogen:<1ppm, Nitrite nitrogen: <0.5ppm and Hydrogen sulphide: < 0.03 ppm.
Optimize feeding regime by careful monitoring of check trays and shrimp biomass.
Avoid feeding after 7.00 PM. Stop feeding when shrimp are in stress and the gut is half or empty. Adopt automatic feeders for better FCR.
Monitor the health of shrimp by observing its behaviour, feed intake, gut, hepatopancreas, appendages, gills, body discoloration and patches. Contact scientists/consultants for technical advice in case of abnormality.
Partial harvesting helps in maintaining the pond carrying capacity and minimize risks.
Chill kill the shrimp immediately after the harvest to maintain the quality."
"What is P. vannamei?""","P. vannamei, also known as the whiteleg shrimp or Pacific white shrimp, is a species of shrimp that is widely cultured for commercial purposes. It is native to the eastern Pacific Ocean, specifically from Mexico to northern Peru."
What are the main advantages of P. vannamei over P. monodon?,"The main advantages of P. vannamei over P. monodon include disease resistance, fast growth rate, tolerance to varied water conditions, feed efficiency, and market demand and price."
How does P. vannamei compare to P. monodon in terms of disease resistance?,"P. vannamei has shown better resistance to various viral diseases, such as white spot syndrome virus (WSSV) and infectious myonecrosis virus (IMNV). These diseases have caused significant losses in P. monodon populations, while P. vannamei has demonstrated a higher level of resistance."
What are the growth characteristics of P. vannamei compared to P. monodon?,"P. vannamei has a faster growth rate compared to P. monodon. It reaches marketable size in a shorter period, typically within 100-120 days, while P. monodon takes around 150-180 days. The faster growth of P. vannamei allows for more efficient production and higher yields."
Why is P. vannamei preferred in shrimp farming?,"P. vannamei is preferred in shrimp farming due to its disease resistance, fast growth rate, tolerance to varied water conditions, better feed efficiency, and higher market demand and price. These factors make it a more profitable and reliable choice for shrimp cultivation."
"As a hatchery owner, I want to showcase my seed inventory on Market Connect to attract potential buyers such as nurseries and farmers. How can I list and manage my seed availability effectively?","Market Connect provides a user-friendly interface for hatcheries to easily list their seed inventory. They can upload seed descriptions, specifications, and images, ensuring that potential buyers get a comprehensive overview of the available seeds. Additionally, hatcheries can manage their inventory, update seed quantities, and mark seeds as 'sold' when they are no longer available."
"As a nursery owner, I'm interested in using Market Connect to find reliable hatcheries and explore their seed offerings. How can I search for specific seeds and place orders through the platform?","Using Market Connect, nurseries can search for seeds based on specific criteria such as crop type, variety, or region. The platform offers advanced search filters and sorting options to help nurseries find the most relevant seeds. Once a nursery identifies the desired seeds, they can directly communicate with the hatchery through the platform's messaging system and initiate the ordering process."
"As a farmer, I'm excited about the concept of Market Connect as it can help me discover new seed varieties and connect with nurseries. How can I ensure the quality and authenticity of the seeds available on the platform?","To address concerns regarding seed quality and authenticity, Market Connect implements a robust verification process for hatcheries and seed suppliers. Before being listed on the platform, hatcheries undergo a verification procedure to ensure that their seeds meet industry standards. Additionally, the platform incorporates a rating and review system where farmers can share their experiences and provide feedback on the seed quality, germination rates, and overall satisfaction."
"As a shrimp farmer, I want to improve the efficiency of my vannamei culture practices. Provide insights on optimal water quality parameters, feeding strategies, and disease prevention measures.","Maintaining optimal water quality is crucial for successful vannamei culture. Parameters such as temperature, salinity, dissolved oxygen levels, and pH play a significant role. Ensuring proper filtration, aeration, and regular monitoring can create a conducive environment for shrimp growth. Additionally, implementing balanced feeding practices, disease surveillance, and biosecurity measures can contribute to improved productivity and profitability."
"You are a hatchery manager responsible for vannamei shrimp breeding. Discuss the key considerations for broodstock selection, spawning techniques, larval rearing, and post-larval management.","In vannamei hatchery management, selecting healthy broodstock with desirable traits is vital. Broodstock should undergo proper conditioning and maturation processes to enhance reproductive performance. Techniques like induced spawning and larval rearing in specialized tanks or raceways, coupled with appropriate nutrition and water management, can maximize larval survival rates. Post-larval stages require careful acclimation and transfer to grow-out ponds, ensuring favorable environmental conditions and nutrition for their growth."
"Market Connect aims to revolutionize the shrimp industry by connecting hatcheries, farmers, and buyers. How can this platform streamline the supply chain, enhance market access, and boost collaboration among stakeholders?","Market Connect serves as a game-changer for the shrimp industry. By providing a digital platform, it enables hatcheries to showcase their vannamei shrimp seed availability and connects them with farmers and buyers. This seamless interaction facilitates efficient seed distribution, offers real-time market insights, and fosters collaborations. With Market Connect, farmers gain access to a wide range of quality seeds, while hatcheries expand their market reach, ultimately driving growth and sustainability in the industry."
"As a shrimp farmer, I'm concerned about sustainability in the industry. Explore the latest innovations in vannamei culture that promote eco-friendly practices, minimize environmental impact, and ensure long-term viability.","Sustainability is a key focus in vannamei culture. Innovations such as recirculating aquaculture systems (RAS), pond raceway systems (PRS), and integrated multitrophic aquaculture (IMTA) promote resource efficiency and minimize environmental impact. Adopting organic and locally sourced feeds, implementing water treatment technologies, and reducing the use of antibiotics contribute to sustainable shrimp farming. By embracing these practices, farmers can enhance the quality of their products, conserve natural resources, and meet the growing demand for responsibly produced shrimp."
Vannamei Shrimp,"Also known as Pacific white shrimp (Litopenaeus vannamei), it is a species of shrimp widely cultivated for commercial purposes due to its rapid growth and high market demand."
Hatchery,"A facility where shrimp larvae are bred, hatched, and reared under controlled conditions until they reach a certain stage (post-larvae) suitable for stocking in grow-out ponds or farms."
"Market Connect is an innovative platform that facilitates connections between shrimp hatcheries, nurseries, and farmers. It aims to streamline the exchange of seed requirements and seed availability. Provide insights on how Market Connect can benefit hatcheries, nurseries, and farmers in the shrimp industry.","Market Connect offers hatcheries a wider market reach and increased visibility for their seed availability. It enables them to connect directly with nurseries and farmers, eliminating intermediaries and ensuring efficient seed distribution. Nurseries benefit from easy access to a diverse range of high-quality seeds, while farmers can find reliable suppliers and fulfill their seed requirements. By fostering collaboration and simplifying the process, Market Connect accelerates the growth and profitability of the shrimp industry."
"As a hatchery manager, you are looking for effective strategies to improve the survival and growth rates of vannamei shrimp larvae. Discuss the key factors to consider, such as water quality management, feeding protocols, and disease prevention measures.","Optimal water quality is essential for successful vannamei shrimp larval rearing. Maintaining appropriate temperature, salinity, dissolved oxygen levels, and pH creates a favorable environment. Implementing a well-balanced feeding protocol with appropriate feed types and feeding frequencies ensures proper nutrition. Disease prevention measures, including regular water quality monitoring, implementing biosecurity protocols, and minimizing stressors, contribute to higher survival rates and healthier larvae."
"You are a shrimp farmer concerned about sustainability in the vannamei culture industry. Discuss eco-friendly practices, such as responsible feed sourcing, effluent management, and habitat preservation, that can be implemented to minimize the environmental impact.","Sustainability in vannamei culture is a growing priority. Shrimp farmers can adopt responsible feed sourcing practices, such as using sustainable and traceable feed ingredients, reducing reliance on fishmeal, and promoting the use of alternative protein sources. Implementing effective effluent management systems, such as sedimentation ponds and wetlands, helps minimize the impact of water discharges. Additionally, preserving natural habitats, mangroves, and coastal ecosystems contributes to the overall ecological balance and sustainability of vannamei culture."
Larviculture,"The process of rearing shrimp larvae in specialized tanks or systems, providing optimal environmental conditions and a carefully balanced diet to ensure their healthy growth and development"
Grow-out Pond,A large water body or pond used for the commercial production of shrimp. It provides a controlled environment for the growth and maturation of shrimp from post-larvae stage to marketable size.
Water Quality Management,"The practice of monitoring and maintaining appropriate levels of temperature, salinity, dissolved oxygen, pH, ammonia, and other parameters in shrimp farming systems to ensure optimal growth and health of the shrimp"
Biosecurity,"Measures implemented to prevent the introduction and spread of diseases, pathogens, and pests in shrimp farms. It includes protocols such as quarantine, disinfection, strict hygiene practices, and monitoring of shrimp health."
Seed Availability,Refers to the availability of quality shrimp seeds (post-larvae) from hatcheries for stocking in grow-out ponds or farms.
Sustainable Shrimp Farming,"Practices that aim to minimize the environmental impact of shrimp farming while ensuring long-term economic viability. It involves responsible feed sourcing, effluent management, habitat preservation, and adherence to environmental regulations."
Market Connect,"The platform or network that facilitates the connection and exchange of seed requirements and availability between hatcheries, nurseries, and farmers in the shrimp industry.Developed and owned by `ambrotechs` private limited."
Nursery,A facility where post-larvae shrimp are further reared and grown to a larger size before being transferred to grow-out ponds. It provides an intermediate stage between hatcheries and grow-out ponds.
Effluent Management,"Techniques and systems used to control and treat the water discharged from shrimp farms, minimizing its impact on the surrounding environment. This may involve sedimentation ponds, wetlands, and nutrient control measures."
Disease Prevention,"Strategies and practices implemented to prevent and manage shrimp diseases, including regular health monitoring, vaccination, proper nutrition, and water quality management."
Genetic Quality,"The genetic characteristics and traits of shrimp stocks, including disease resistance, growth rates, and adaptability to specific environmental conditions."
Responsible Feed Sourcing,"The use of sustainable and environmentally friendly feed ingredients in shrimp diets, reducing reliance on fishmeal and promoting the use of alternative protein sources."
Traceability,"The ability to track and document the origin, production, and distribution of shrimp seeds or products, ensuring transparency and accountability throughout the supply chain."
more seed providers list,"1. Andhra Pradesh State Seeds Development Corporation Ltd
2. Telangana State Seed Certification Agencies"
"Please provide information about BluH, including any relevant details or specifications","BluH is a versatile product that offers a wide range of features. Whether you're looking for bluhatch,bluH, BLUH, or blUh, our product caters to various case types. BluH is known for its reliability, efficiency, and user-friendly interface. With BluH, you can streamline your processes and improve productivity. Feel free to explore bluh.com or contact our support team for more information."
Vannamei seed providers,"syaqua,SyAqua,KonaBay,SIS,UniBIO"
Tiger,"syaqua,SyAqua,KonaBay,SIS,UniBIO"
Discount on seeds,register on ambrotechs market connect app to avail exclusive upto 50% discount
Harvest Calculator,"Get projections of Biomass and ABW along with other growth trends and enable quicker and better corrective actions in case of observed deviations .Run simulations and plan best possible stocking densities ,DOC for optimum production outcomes ."
